"category_name","price_range","total_amount","total_number_orders"
"Beverages","$10-$20","90262.89","255"
"Beverages","$20-$50","23526.7","28"
"Beverages","Below $10","12681.85","97"
"Beverages","Over $50","141396.74","24"
"Condiments","$10-$20","24255.4","76"
"Condiments","$20-$50","50962.69","66"
"Condiments","Below $10","30828.99","74"
"Confections","$10-$20","34440.58","111"
"Confections","$20-$50","82183.99","89"
"Confections","Below $10","28169.3","118"
"Confections","Over $50","22563.36","16"
"Dairy Products","$10-$20","14920.87","51"
"Dairy Products","$20-$50","114329.79","149"
"Dairy Products","Below $10","105256.62","166"
"Grains/Cereals","$10-$20","7661.55","23"
"Grains/Cereals","$20-$50","64551.03","80"
"Grains/Cereals","Below $10","23532.01","93"
"Meat/Poultry","$20-$50","53272.55","67"
"Meat/Poultry","Below $10","22154.64","69"
"Meat/Poultry","Over $50","87595.17","37"
"Produce","$20-$50","47740.94","62"
"Produce","Below $10","52243.64","74"
"Seafood","$10-$20","41247.96","104"
"Seafood","$20-$50","36979.94","71"
"Seafood","Below $10","23861.96","128"
"Seafood","Over $50","29171.87","27"
