"category_name","supplier_region","units_in_stock","units_on_order","reorder_level"
"Beverages","Australia","15","10","30"
"Condiments","Australia","24","0","5"
"Confections","Australia","29","0","10"
"Grains/Cereals","Australia","38","0","25"
"Meat/Poultry","Australia","0","0","0"
"Produce","Australia","20","0","10"
"Seafood","Australia","42","0","0"
"Beverages","Brazil","20","0","0"
"Condiments","Canada","113","0","25"
"Confections","Canada","17","0","0"
"Meat/Poultry","Canada","136","0","30"
"Seafood","Denmark","100","70","15"
"Beverages","Finland","57","0","20"
"Confections","Finland","75","60","45"
"Beverages","France","86","0","20"
"Dairy Products","France","98","0","0"
"Seafood","France","62","0","20"
"Beverages","Germany","125","0","25"
"Condiments","Germany","32","0","15"
"Confections","Germany","140","0","60"
"Grains/Cereals","Germany","22","80","30"
"Meat/Poultry","Germany","0","0","0"
"Produce","Germany","26","0","0"
"Seafood","Germany","10","0","15"
"Dairy Products","Italy","23","110","45"
"Grains/Cereals","Italy","57","10","50"
"Condiments","Japan","39","0","5"
"Meat/Poultry","Japan","29","0","0"
"Produce","Japan","39","20","5"
"Seafood","Japan","55","0","5"
"Confections","Netherlands","51","70","25"
"Dairy Products","Norway","164","0","35"
"Beverages","Singapore","17","10","25"
"Condiments","Singapore","27","0","15"
"Grains/Cereals","Singapore","26","0","0"
"Dairy Products","Spain","108","30","30"
"Grains/Cereals","Sweden","165","0","50"
"Seafood","Sweden","224","50","50"
"Beverages","UK","56","40","35"
"Condiments","UK","13","70","25"
"Confections","UK","74","50","25"
"Beverages","USA","183","0","40"
"Condiments","USA","259","100","45"
"Produce","USA","15","0","10"
"Seafood","USA","208","0","40"
